Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Территория, ограниченная Глухой Зелениной ул., Малой Зелениной ул., Резной ул., наб. Адмирала Лазарева",Петроградский,506,2010-04-27,"5,6",1A73E1CD-A697-4471-96F6-089DB202019F
4 этап (утверждение документации ППТ),"Территория, ограниченная Пискаревским пр.,Муринским ручьем , административной границей Санкт-Петербурга, береговой линией реки Большая Охта,границей функциональной зоны «Д»,границей базисного квартала 5606, перспективной пробивкой Северного пр,",Красногвардейский,811,2014-09-03,"551,5",27A0BE39-EB0B-4A01-8489-09F9F2B9BAFF
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским шоссе, р. Кузьминкой, Южной широтной магистралью и ж/д веткой Витебского направления («Шушары-3»)",Пушкинский,620,2007-05-29,"1160,3",DAF88B30-B18E-46CF-9017-0A25EA051CB2
4 этап (утверждение документации ППТ),"Территория, ограниченная трассой Западного скоростного диаметра, Приморским пр., створом Стародеревенской ул., береговой линией р. Большая Невка и Невской Губы",Приморский,1225,2014-12-22,"27,3",6544A382-62B3-483E-B654-0B48D2FB7B20
4 этап (утверждение документации ППТ),"Территория, ограниченная Б.Сампсониевским пр., Земледельческой ул., полосой отвода железной дороги",Выборгский,105,2014-02-18,"1,7",C66D78A0-8438-42D6-B1AF-0CEAF20B2821
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Бухарестской, ул. Салова, Софийской ул., ул. Фучика во Фрунзенском районе",Фрунзенский,127,2009-02-03,"65,8",C65A8FC1-E06B-4246-B7F9-0D17207DA4D6
4 этап (утверждение документации ППТ),"Территория, ограниченная Крестовским пр., Рюхиной ул., Морским пр., Спортивной ул.",Петроградский,1244,2012-11-27,"11,2",181D71E7-8A24-4F4D-A80A-0D82A8FE1C4B
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Косыгина, пр. Наставников, Ленской ул., Индустриальным пр.",Красногвардейский,609,2009-05-26,"32,5",DC8C48DE-3B9E-44D0-BC3A-0D8826709140
4 этап (утверждение документации ППТ),"Квартал 2 западной части Васильевского острова, ограниченного ул. Кораблестроителей, ул. Наличной и Новосмоленской наб.",Василеостровский,1076,2007-08-28,63,245DB3D7-C25F-4DEE-8759-0DABF7E15F0A
4 этап (утверждение документации ППТ),"Территория, ограниченная береговой линией р. Красненькой, проектным продолжением Брестского бульвара, ул. Маршала Казакова, проектируемым проездом, проектным продолжением ул. Морской Пехоты",Красносельский,55,2016-01-26,"37,3",C2F966C2-FA3F-4738-BEEB-0DF4DC4FA9D2
4 этап (утверждение документации ППТ),"Квартал, ограниченный ул. Бабушкина, Леснозаводской ул., Белевским пер. И ул. Шелгунова",Невский,70,2009-01-20,"10,7",2CFC7FF2-3958-49AB-81C8-0E1FB2F7ECFE
4 этап (утверждение документации ППТ),"Территория района Нарвской заставы, ограниченной Промышленной ул., пр.Стачек, Новоовсянниковской ул., Баррикадной ул., ул.Трефолева, ул.Калинина, Кемеровской ул. В Кировском районе",Кировский,744,2012-07-23,"105,2",C5760A51-CA1C-4E49-BA3B-0E78433DCED7
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Сикейроса, ул. Есенина, Северным пр., пр. Энгельса",Выборгский,612,2011-05-17,"23,2",205D0348-6DB9-4AEE-8B8C-0E92F3D955A3
4 этап (утверждение документации ППТ),"Территория квартала 18 Восточнее Витебский ЖД, ограниченная ул. Белы Куна, Софийской ул., ул. Турку, Пражской ул.",Фрунзенский,1005,2011-07-13,"79,9",3FE98403-6C1B-4D02-B1BD-0ECF07A84473
4 этап (утверждение документации ППТ),"Территория, ограниченная Смольным пр., Синопской наб., Тульской ул., ул. Бонч-Бруевича",Центральный,1214,2014-12-22,"6,3",2F935CB0-956A-4882-8500-0ED50B86B8C6
4 этап (утверждение документации ППТ),"Изменения в ППиПМ территории, ограниченной Левашовским пр., Б.Зелениной ул., Барочной ул., Песочной наб., в Петроградском районе, утвержденный постановлением Правительства Санкт-Петербурга от 14.08.2007 № 1005",Петроградский,96,2018-02-14,"4,5",A0914015-601B-4C56-A707-0EF309A727DD
4 этап (утверждение документации ППТ),"Территория, ограниченная Мебельной ул., проектируемым проездом, проектируемым продолжением Стародеревенской ул., проектируемым проездом, Планерной ул., утвержденный постановлением Правительства Санкт-Петербурга от 11.11.2009 № 1294",Приморский,826,2019-11-26,"18,1",EA86E734-059C-44DB-B783-0FB119468F80
4 этап (утверждение документации ППТ),"Территория, ограниченная Тобольской ул., Лесным пр., ул. Смолячкова, Б.Сампсониевским пр.",Выборгский,1656,2008-12-22,"6,8",46CA6AF2-34CC-4A34-AD04-1020EFDBD132
4 этап (утверждение документации ППТ),"Территория, ограниченная Пискаревским пр., перспективной пробивкой Северного пр. , Ручьевской дорогой",Красногвардейский,1188,2014-12-18,"41,6",30DF96D9-35FC-450A-8ECA-10268A5DAC2D
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Комендантский пр. От Глухарской ул. До Парашютной ул»,Приморский,785,2019-11-12,"36,3",832F3FDA-0B84-49B8-96C8-10778A76804D
4 этап (утверждение документации ППТ),"Ограниченного Малым пр. Петроградской стороны, Ординарной ул., Большим пр. Петроградской стороны и ул. Плуталова",Петроградский,1429,2008-11-11,"3,2",4104E7B2-8A58-41A1-9A2A-11532D62380A
4 этап (утверждение документации ППТ),"Территория квартала 16 Малой Охты, ограниченная Уткиным пр., пр. Энергетиков, пл. Карла Фаберже, Заневским пр., р. Оккервиль, проектируемым проездом",Красногвардейский,1016,2011-07-13,"9,9",4210D5E6-BFB3-4C5B-B2D7-11A2F9CE1814
4 этап (утверждение документации ППТ),"Производственная зона «Ижорские заводы», ограниченная продолжением Софийской ул., магистрали №1, проездом №1 и южной границей земельного участка",Колпинский,1670,2008-12-29,"55,7",E3EA8833-2D8F-457E-BF11-11E2882C17F1
4 этап (утверждение документации ППТ),"Территория для размещения линейного объекта регионального значения «Перспективное продолжение пр. Маршала Блюхера от Индустриального пр., Зыбинской ул., ул.Потапова»",Красногвардейский,940,2019-12-23,"13,8",5F9C5783-AE87-44A0-8D5D-11E8DE3EBF2A
4 этап (утверждение документации ППТ),"Территория, ограниченная Новолитовской ул., Чугунной ул., Литовской ул. Грибалевой ул.",Выборгский,134,2011-02-01,"7,4",37064F6D-9623-4283-8BA7-11F7B310EC8F
4 этап (утверждение документации ППТ),Квартал 58 Северо-Приморской части,Приморский,621,2007-05-29,"37,4",42DF30F3-3E06-4BFE-B939-12C77B5B0DD8
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским шоссе, р. Кузьминкой, Южной широтной магистралью и железнодорожной веткой Витебского направления, утвержденный постановлением Правительства Санкт-Петербурга от 29.05.2007 №620 в части территории, ограниченной Московским шоссе, Курьерским проездом, Паровозной дорогой",Пушкинский,608,2021-08-19,"154,1",DF1DA60C-3685-4C82-880A-1327B06FFB30
