Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,"Площадь, га",Идентификатор
4 этап (утверждение документации ППТ),"Квартала 37 нежилой зоны района «Большая Охта», ограниченная Якорной ул., пр. Энергетиков, Магнитогорской ул., пр. Металлистов",Красногвардейский,1655,2008-12-22,"31,9",3E9A6A98-958D-484F-B7AE-3789C025ACB6
4 этап (утверждение документации ППТ),"Территория, ограниченная Дальневосточным пр. Ул. Дыбенко, Октябрьской наб. ,ул. Крыленко",Невский,1281,2014-12-29,"58,9",1723B14F-35E2-4ED5-AA84-37DD36AB2BB4
4 этап (утверждение документации ППТ),"Территория, ограниченная Нижней дорогой, границей дворцово-паркового ансамбля «Знаменская дача» (Знаменка), Санкт-Петербургским шоссе, ул. Чайковского, в г.Петродворец",Петродворцовый,1262,2011-08-17,"27,5",7806E421-2452-490D-A021-38041FA3D5ED
4 этап (утверждение документации ППТ),"Территория, ограниченная Авиационной ул., полосой отвода железной дороги границей территорриальной зоны ТР2, проектируемой улицей №4, перспективной магистралью",Курортный,721,2022-08-12,"110,7",7C3E477D-2D0C-400A-9F98-38528E6257F1
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Евдокима Огнева, пр. Большевиков, ул. Крыленко и Искровским пр.",Невский,1615,2007-12-11,"13,1",2F26421A-1DDB-486D-8684-387851FD531B
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Реконструкция ВЛ-35кВ Сапернинская -1»,Колпинский,646-пр,2019-10-24,"9,4",0671077F-88B4-49B1-B4A4-38CA935EEFE5
4 этап (утверждение документации ППТ),"Территория н/з «Металлострой», ограниченная Проездами № 3, 6, 7 и дорогой в Металлострой (кв.5)",Колпинский,1323,2006-10-25,49,2E0D6253-C0C0-46C4-8344-392D5D4BC8ED
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Пр. Ветеранов от пр. Буденного до Красносельского шоссе»,Петродворцовый,972,2021-12-13,"14,6",34400CA9-0A2A-4856-AA2B-3944764EADDC
4 этап (утверждение документации ППТ),"Территория, ограниченная Народной ул., Дальневосточным пр., границей функциональной зоны «3ЖД» и Октябрьской наб.",Невский,741,2011-06-07,"20,4",0D3EDBCF-114E-430A-B283-395BAE17F25D
4 этап (утверждение документации ППТ),"Территория, ограниченная проектным подолжением Индустриального пр., Шафировским пр., продолжением Шафировского пр., КАД вокруг Санкт-Петербурга, береговой линией р.Охты, полосой отвода железной дороги",Красногвардейский,81,2014-02-13,"90,9",D00C45A1-6DE2-4CEF-B06E-398C73554BD9
4 этап (утверждение документации ППТ),"Территория для размещения линейного объекта «Автомобильные дороги с сопутствующими сетями: магистраль № 1 на участке от проектируемой магистрали № 2 до проектируемого продолжения Софийской ул., проезд № 1 на участке от проектируемой магистрали № 1 до проектируемого проезда № 2, проезд № 2 от проектируемого проезда № 1 до проектируемого продолжения Софийской ул»",Колпинский,80,2021-02-25,"28,7",AE7E8168-C14A-4E1F-BF02-39BC1F56F07E
4 этап (утверждение документации ППТ),"Территория предприятия «Бугры» (участки 2, 5, 6, 14, 15, 16)",Калининский,237,2007-03-06,"67,9",A9025346-7B8C-42CB-8E90-39D05D388FAD
4 этап (утверждение документации ППТ),"Территории, ограниченной ул. Академика Лебедева, Финским пер., пл. Ленина и ул. Комсомола",Калининский,1601,2008-12-16,"2,5",BFFC15A6-F0D3-4673-B268-3AA98A6409FC
4 этап (утверждение документации ППТ),"Территория, ограниченная Колхозной ул., Звериницкой ул., Главной ул., административной границей с Ленинградской областью",Пушкинский,268,2016-04-12,"9,1",C193D69A-1F13-42F4-8D22-3AEC05C18720
4 этап (утверждение документации ППТ),"Квартал 2А района Шувалово-Озерки, ограниченный Суздальским пр., кварталом № 2, ул. Жени Егоровой и Выборгским шоссе",Выборгский,866,2007-07-17,"3,3",95BEA60E-49CF-4B93-858A-3B53B534BCD2
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Проектируемая улица от Дальневосточного п до Октябрьской наб»,Невский,25,2022-01-19,"3,8",090DEC90-A857-45F6-8B30-3BEA8AF3BE88
4 этап (утверждение документации ППТ),"Территория севернее лесопарка «Ново-Орловский», ограниченная персп. Продолжением Суздальского пр., проект. Положением Шуваловского пр., Заповедной ул. И проект. Положением Парашютной ул. В Каменку",Приморский,867,2007-07-17,"279,9",913E4D32-AE89-468F-9582-3C19F917DBBB
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Руставели перспективным продолжением Северного пр. Полосой отвода ж.д. Межквартальным проездом",Калининский,1063,2014-11-25,"17,6",8209EAC6-CD25-420E-B280-3C266DFBF915
4 этап (утверждение документации ППТ),"Территория квартала 7-10 Западнее Варшавской ЖД, ограниченная Бассейной ул., Новоизмайловским пр., пл. Конституции, Краснопутиловской ул., Кубинской ул.",Московский,995,2011-07-13,"58,3",A4A9B92F-FFF6-45F5-8CF7-3C72DBFB8D95
4 этап (утверждение документации ППТ),"Территория для размещения линейного объекта «Строительство ПС 220 кВ «Купчинская» с заходами КЛ 220 кВ (установка силовых трансформаторов 2х40 МВА, ориентировочная протяженность 0,5 км)»",Петроградский,902,2020-10-13,"0,3",F78A9E4C-471E-46A8-85F2-3C7D03150724
4 этап (утверждение документации ППТ),"Территория, ограниченная 2-м Бадаевским проездом, ул. Ленина, 3-м Бадаевским проездом, проектируемым проездом, утвержденный постановлением Правительства Санкт-Петербурга от 29.04.2014 No321",Пушкинский,968,2020-11-23,"19,7",D782DE33-7C12-4E6B-A912-3C8D354AFCC1
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Перспективное продолжение пр. Маршала Блюхера от Анисимовской дороги с путепроводом через железнодорожные пути»,Красногвардейский,672,2021-09-14,"11,7",2DAD16E7-3471-44E1-8453-3D72FE52CFFC
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Участок Лахтинско-Правобережной линии от станции метро »Большой проспект« до станции метро »Морской фасад«,Василеостровский,547,2020-07-17,"17,9",92242682-0073-4115-B8A7-3D77963A1340
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Коллонтай, Дальневосточным пр., ул. Еремеева, Складской ул., Союзным пр., в Невском районе",Невский,1134,2021-12-29,"45,4",F612633A-6B49-47D0-B9AC-3D7AB93B6150
4 этап (утверждение документации ППТ),"Территория, ограниченная Северным пр., ул. Есенина, ул. Жака Дюкло и парком «Сосновка»",Выборгский,1123,2006-09-05,"30,9",929B5194-648A-45AD-8B4C-3DCE7B3053D1
4 этап (утверждение документации ППТ),"Территория, ограниченная береговой линией р. Невы, береговой линией р. Утки, проектируемым проездом",Невский,858,2012-08-15,13,7A8E31BE-FD56-4F90-A073-3DF13FF3BEED
4 этап (утверждение документации ППТ),"Территория для объекта «Строительство мест отстоя спецвагонов «СТ», посадки и высадки спецконтингента на станции Дача Долгорукова» Октябрьской железной дороги",Невский,ВЧ-69-р,2019-05-30,"7,4",1A7667F6-C86B-4F91-97C4-3DFA46C87CF8
4 этап (утверждение документации ППТ),"Территория, ограниченная Ермоловским пр., проектным продолжением ул. Борисова, наб. Р. Сестры, ул. Володарского, пл. Свободы, полосой отвода железной дороги Сестрорецкого направления",Курортный,868,2010-06-29,57,65057020-00C3-4DB9-AFA3-3E4242C8AB45
4 этап (утверждение документации ППТ),"Территория, ограниченная Песочной наб., ул. Грота, ул. Профессоа Попова, ул. Даля",Петроградский,340,2011-03-22,"3,3",F897837F-C1D8-4B32-9703-3E6128AEAF5C
4 этап (утверждение документации ППТ),"Квартал 36А г. Сестрорецка, ограниченный ул. Инструментальщиков, Транспортным пер. И Приморским шоссе",Курортный,210,2008-02-26,"10,6",98A15DFF-D5E9-4347-B82D-3E74DD779188
4 этап (утверждение документации ППТ),"Территория, ограниченная проектным продолжением Глухарской ул, проектным продолжением Комендантского пр., границей базисного квартала 4281,",Приморский,1280,2014-12-29,"12,5",E3FB2BCC-5527-4D50-82BD-3E75734B2A7F
4 этап (утверждение документации ППТ),Территория строительства морского пассажирского терминала на Васильевском острове в Санкт-Петербурге на территории Невской губы Финского залива западнее Васильевского острова,Василеостровский,1431,2007-11-13,"67,1",AA515CFA-0892-4781-BA16-3EB909B1385C
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Автомобильная дорога от кольцевой автомобильной дороги вокруг Санкт-Петербурга до автомобильной дороги «Санкт-Петербург - Матокса» (в створе Пискаревского пр.)»,Красногвардейский,494,2022-06-08,"10,5",DA1A96ED-7D8B-499B-91AC-3EBF0931570D
4 этап (утверждение документации ППТ),"Территория, ограниченная Песочной ул., границей садоводства, Ленинградской ул. И проектируемой магистралью",Пушкинский,1160,2008-09-09,"0,8",49B0755F-6A34-4705-9B93-3ED37FCCF759
4 этап (утверждение документации ППТ),Для объекта «Развитие железнодорожных подходов к ММПК «Бронка». Реконструкция инфраструктуры на участке Рыбацкое-Предпортовая-Лигово-Бронка Октябрьской железной дороги. Первый этап»,Петродворцовый,АИ-279-р,2019-12-27,"111,8",C452FEAC-A0BA-4B7E-BCDB-3EE36C501937
4 этап (утверждение документации ППТ),"Квартал 15 Восточнее проспекта Юрия Гагарина (ВЮГ), ограниченный пр. Космонавтов, Дунайским пр., Витебским пр. И проектируемой улицей",Московский,47,2011-01-18,"44,9",03DDAABF-B59C-4ADD-9208-3F0F05C3F411
4 этап (утверждение документации ППТ),"Территория, ограниченная Дальневосточным пр., ул.Зольной, Складской ул., перспективным положением ул. Еремеева",Невский,227,2009-02-24,"9,5",1739A8ED-AEDA-4352-B9E5-3F19A70C0603
4 этап (утверждение документации ППТ),"Территория квартала 43 Полюстрово, ограниченного пр. Мечникова, Замшиной ул., Бестужевской ул., Кондратьевским пр.",Калининский,1021,2011-07-13,"17,8",DB894334-D2AE-4486-A0F0-3F5A9D96309D
4 этап (утверждение документации ППТ),"Территория, ограниченная Рыбацким пр., ул.Дмитрия Устинова, Шлиссельбургским пр., пр.Обуховской Обороны",Невский,502,2016-06-20,33,24657FBC-07EF-4CA0-8452-3F7182556A63
4 этап (утверждение документации ППТ),"Территория, ограниченная Пискаревским пр., Львовской ул., ул. Маршала Тухачевского, Апрельской ул., пр. Металлистов, утвержденный постановлением Правительства Санкт-Петербурга от 18.03.2008 № 293",Красногвардейский,529,2017-06-27,"34,7",16184949-15BA-4B1B-80F9-3FFA49EEF92B
4 этап (утверждение документации ППТ),"Территории, ограниченной Трамвайным пр., проездом, Автомобильной ул., пр. Народного ополчения",Кировский,1519,2009-12-22,"11,2",E6924621-9B10-4AD3-AF5C-408D1755F59F
4 этап (утверждение документации ППТ),"Ограниченной пр. Шаумяна, Заневским пр., рекой Оккервиль, Гранитной ул.",Красногвардейский,864,2010-06-29,"42,8",830765F3-069E-4E39-92D7-40D53AC0F0CE
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Просвещения, ул. Ивана Фомина, Поэтическим бульваром, ул. Есенина",Выборгский,1008,2010-07-27,"21,4",3F4972CC-E05D-47BC-A4CC-40F2E6AC411D
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Маршала Тухачевского, Львовской ул., Пискаревским пр.",Красногвардейский,835,2019-11-29,"14,2",597B3ABA-75EB-4193-A224-410A12EBE6AA
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Строительство Лахтинско-Правобережной линии метрополитена от станции »Улица Дыбенко« до станции »Кудрово« в административных границах Санкт-Петербурга»,Невский,47,2022-01-27,"34,4",7AB78806-7499-44F9-9D79-41AD6650F4CA
4 этап (утверждение документации ППТ),"Территория, ограниченная пр.Шаумяна, Республиканской ул., Новочеркасским пр., проектируемым продолжением ул. Помяловского",Красногвардейский,1212,2014-12-22,"20,7",42C5980F-34A6-4C2A-BB4B-42AFB41F5BCA
4 этап (утверждение документации ППТ),Для размещения линейного объекта регионального значения «Плесецкая ул. От пр. Авиаконструкторов до Планерной ул»,Приморский,434,2021-06-29,"2,7",BF5A43BD-EFED-49B2-99A1-42BCCD58E3E7
4 этап (утверждение документации ППТ),"Территория п/з «Восточная» (»Пушкинская«), ограниченная южной границей ЗУ Ж.Д. От ж.-д. Станции «Детское Село» до Московского шоссе, проектируемым проездом №1, Автомобильной ул., продолжением Сетевой ул., шоссе Подбельского",Пушкинский,46,2011-01-18,"35,8",C22F427A-31C5-4A90-8774-42C8724B4237
4 этап (утверждение документации ППТ),"Территория, ограниченная Заречной дорогой, Приморским шоссе, соединительной веткой ж.д. Курорт-Белоостров, р. М.Сестрой, в г.Сестрорецке Курортного района, утвержденный постановлением Правительства Санкт-Петербурга от 21.10.2008 № 1328",Курортный,493,2022-06-08,"66,7",FDE3B799-738C-4777-9C77-433A36FD8669
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Железнодорожный путь необщего пользования»,Петродворцовый,343,2022-04-19,"2,2",91B6B360-FAB8-4D30-A4A4-437D2BDAB8B3
4 этап (утверждение документации ППТ),Территория квартала 10А западнее ул. Спирина,Красносельский,557,2009-05-12,"22,4",1D50A42E-A283-4728-821C-438C3E84ED1E
4 этап (утверждение документации ППТ),"Территория, ограниченная проездом местного значения, 1-м Верхним пер., Верхней ул., 2-м Верхним пер. В промзоне «Парнас»",Выборгский,299,2010-03-23,"65,5",9D75B473-D021-4EC3-B9D1-448341290E08
4 этап (утверждение документации ППТ),"Территория производственной зоны «Обухово», за исключением территории, ограниченной Софийской ул., Грузовым проездом, полосой отвода железной дороги, во Фрунзенском районе",Фрунзенский,1339,2010-10-05,"281,7",089B237F-BF4A-42B0-90F8-448873810F04
4 этап (утверждение документации ППТ),"Территория, ограниченная Серпуховской ул., Малодетскосельским пр., Подольской ул. И наб. Обводного канала",Адмиралтейский,1159,2008-09-09,"1,6",18E9EACC-4081-4372-AF96-44BF081A1E50
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Обуховской Обороны, проектируемым проездом, береговой линией р. Невы, границей территориальной зоны «ТР2»,",Невский,1217,2014-12-22,"25,1",452BB1DE-3038-404F-A7CC-457773C2DF63
4 этап (утверждение документации ППТ),"Территория, ограниченная ул.Строителей, проектным продолжением Торфяной ул., границей функциональной зоны «ПД», полосой отвода Окт. Ж.д., в г. Зеленогорске",Курортный,855,2011-06-28,"9,8",C82184A0-B49C-4C81-8A0A-460B35371081
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Славы, Софийской ул., Южным шоссе и проездом вдоль ж/д",Фрунзенский,862,2007-07-17,"9,7",FFFC3236-D889-4968-BFA6-460F61B94784
4 этап (утверждение документации ППТ),"Территория, ограниченная Коломяжским пр., пр. Испытателей, границей территории объекта культурного наследия парка «Удельный», проектируемыми проездами",Приморский,509,2010-04-27,"16,1",CCA7A73F-F67B-4F85-895B-4653BCA1817C
4 этап (утверждение документации ППТ),"Изменения в ППиПМ территории «Марьино» в Петродворцовом районе, утвержденный постановлением Правительства СПб от 07.12.2010, в части территории, ограниченной проектируемым проездом №2, ул. Новые Заводы, проектируемым проездом №3, береговой полосой Черной речки",Петродворцовый,294,2019-05-21,"168,3",25C158C5-83FB-4EBF-B148-47062F9ECB3E
4 этап (утверждение документации ППТ),"Квартал 2В района Ульянка, ограниченный ул. Солдата Корзуна, пр. Маршала Жукова, западной границей парка Александрино и проездом от ул. Козлова",Кировский,869,2010-06-29,"13,6",12BBBEAD-2E3E-4110-BE4C-4726ADF88FE2
4 этап (утверждение документации ППТ),"Территории, ограниченной Мурзинской ул., пр. Обуховской Обороны, перспективной магистралью от Мурзинской ул. До пр. Обуховской Обороны",Невский,1293,2009-11-11,"15,3",F2B60035-0370-4176-A194-4755AAD605C5
4 этап (утверждение документации ППТ),"Территория, ограниченная пр Славы, ул. Бухарестской, Альпийским пер., ул. Будапештской",Фрунзенский,1127,2014-12-16,"33,8",6B0998D0-CAEA-4391-8E80-47CAA90567F5
4 этап (утверждение документации ППТ),"Территория, ограниченная береговой линией р.Утки, границей функциональной зоны ПД, Приневской ул., полосой отвода железной дороги, административной границей Санкт-Петербурга,проездом №1,",Невский,1076,2014-11-26,"61,9",08D33B78-7977-495F-8461-47FF8EF8F787
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским пр., наб. Обводного кан., полосой отвода Балт. Линии ОЖД и Благодатной ул. («Измайловская перспектива»)",Московский,864,2007-07-17,"444,8",CD694278-ECB8-4DDF-8B68-480C7962D7E7
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским пр., наб. Обводного кан., полосой отвода Балт. Линии ОЖД и Благодатной ул. («Измайловская перспектива»)",Московский,1054,2010-08-09,"444,8",1DD8C5F6-F499-489A-B7C1-48BC4C6A8D6F
4 этап (утверждение документации ППТ),"Территория, ограниченная Рябовским шоссе, ул. Коммуны, береговой линией р.Лубьи, границей функциональной зоны «3ЖД», в Красногвардейском районе",Красногвардейский,325,2014-04-29,"20,2",C7B51AA7-5269-470F-ADDB-48BD78151277
4 этап (утверждение документации ППТ),"Производственной зоны «Ижорские заводы», ограниченной маг. №1, южной границей ЗУ (кад. Номер 78:37:17212:225), проездом №1, проектируемой улицей, полосой отвода ж.д. Московского направления, северо-восточной границей ЗУ (кад. Номер 78:37:17212:103) ...",Колпинский,1759,2010-12-21,"178,4",6C7CCF45-B0C3-4417-9B56-48C0E441BFB6
4 этап (утверждение документации ППТ),"Санкт-Петербург, территория, ограниченная границей Красносельского и Кировского районов Санкт-Петербурга, проектным продолжением ул. Морской Пехоты, проектируемой улицей №1, ул. Маршала Казакова, проектным продолжением ул. Доблести",Красносельский,267,2016-04-12,"32,8",33BC1BA3-1A03-472D-8185-49011C7EA2D1
4 этап (утверждение документации ППТ),Территории зон планируемого размещения объектов капитального строительства федерального значения многофункционального морского перегрузочного комплекса федерального значения «Бронка»,Петродворцовый,АД-239-р,2014-06-20,"220,5",2B58D108-7D20-4034-A5E8-490F63991CD6
4 этап (утверждение документации ППТ),"Территория, ограниченная Фурштатской ул., пр. Чернышевского, Кирочной ул., Мелитопольским пер.",Центральный,1206,2010-09-07,"1,7",4F828358-88D7-4731-94B2-49D96CC8DBC0
4 этап (утверждение документации ППТ),"Территория, ограниченная береговой линией р. Невы, береговой линией р. Славянки, проектируемой магистралью, границами проектируемых кварталов, Усть-Славянка",Невский,1018,2011-07-13,"67,1",5C834F69-3D1B-4ED8-94CC-49F045D1AAD4
4 этап (утверждение документации ППТ),"Территория, ограниченная Долгоозерной ул., Парашютной ул., ул. Маршала Новикова, Ольховой ул. И пр. Королева",Приморский,212,2008-02-26,"31,8",40EC36D2-3642-4A4A-A260-49F10ED00C86
4 этап (утверждение документации ППТ),"Территория квартала 55 Тихорецкого пр., ограниченная Тихорецким пр., пр. Науки, ул. Обручевых, ул. Гидротехников",Калининский,1014,2011-07-13,"46,2",D6606530-DA2D-4504-85B8-4A90D530E3C6
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Композиторов, Суздальским пр., ул. Симонова, ул. Прокофьева",Выборгский,72,2014-02-07,"9,6",E637C117-FADE-412C-A75E-4AB99625105A
4 этап (утверждение документации ППТ),"Территория, ограниченная Приморским шоссе границами водных объектов (Быстрого ручья, 8-го ручья) административной границей Санкт-Петербурга границами кадастрового квартала №22492 в г. Зеленогорске",Курортный,1128,2014-12-16,"35,3",5C6D6C5F-CEB2-4A8D-82D8-4AD7EA34B7A1
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Литке, Цитадельским ш., границей функциональной зоны «РЗ».береговой линией Невской Губы, границами базисных кварталов 10236 и 10218, Кронштадским ш. В г Кронштадте",Кронштадтский,1131,2014-12-16,"65,6",EC76D43F-42B3-436C-AFA1-4B1581A0DD13
4 этап (утверждение документации ППТ),"Территория, ограниченная Богатырским пр., Гаккелевской ул., продолжением Гаккелевской ул., Ситцевой ул., Стародеревенской ул.",Приморский,43,2014-01-28,"26,2",EA328616-5493-4F6E-85D8-4B3B619AA171
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Гранитная ул. От Новочеркасского пр. До Уткина пер»,Красногвардейский,1173,2016-12-16,"9,5",49E0862C-2757-48FA-AA8D-4B6DE3861466
4 этап (утверждение документации ППТ),"Территория, ограниченная 2-ой Боровой ул., проектируемыми проездами № 2 и № 3 в пос. Солнечное",Курортный,652,2007-06-05,"37,1",0D5B07A2-97F3-4C23-9CDE-4BA9D33CDD64
4 этап (утверждение документации ППТ),Территория для размещения объекта «Строительство объекта инфраструктуры железнодорожного транспорта (конструкция для снижения звукового воздействия) вдоль железнодорожных путей общего пользования Октябрьской железной дороги»,Колпинский,АИ-331-р,2020-09-17,"13,8",0A77CB2B-3805-44A5-B65A-4BDAB73A443D
4 этап (утверждение документации ППТ),"Территория, ограниченная Барклаевской ул., границей базисного квартала 7527 , полосой отвода ж/д , Заставской ул., Цветочной ул.,Лиговским пр.,",Московский,461,2014-06-04,"15,5",01D196E9-83B9-4336-9F78-4C5B8B30957A
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта регионального значения «Плесецкая ул. От Комендантского пр. До Парашютной ул»,Приморский,88,2022-02-09,"8,6",EB2BE0F0-B1BA-4A76-A217-4C77553DF2A8
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта «Петербургское шоссе от Пулковского шоссе до Витебского пр»,Пушкинский,755,2020-09-21,"44,6",31618ECA-8F9C-47E8-B3CF-4CB5AF16E3C4
4 этап (утверждение документации ППТ),"Территория, ограниченная Советским пр., 3-й Поперечной ул., береговой линией озера Сестрорецкий Разлив, проектируемым проездом",Курортный,1417,2010-10-19,"56,9",BE767C52-44B4-4838-8807-4CC488112C6D
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Косыгина, ул. Коммуны, Ленской ул., Белорусской ул.",Красногвардейский,1007,2010-07-27,"7,3",E7B73362-858E-4C4B-B065-4CCA24F0C43B
4 этап (утверждение документации ППТ),"Территория, ограниченная ул.Коллонтай, Дальневосточным пр., ул.Еремеева, Союзным пр., в Невском районе",Невский,886,2013-11-21,"45,4",27E15D38-3D63-493C-AC3C-4D3E45CDC61F
4 этап (утверждение документации ППТ),"Территория, ограниченная Северным пр., границей функциональной зоны «Д», проектируемым проездом",Выборгский,1168,2012-10-30,"3,5",5D28C51E-0BB6-44F2-A0EF-4D473E1C1B66
4 этап (утверждение документации ППТ),"Территория района Нарвской заставы, ограниченной Промышленной ул., пр.Стачек, Новоовсянниковской ул., Баррикадной ул., ул.Трефолева, ул.Калинина, Кемеровской ул. В Кировском районе",Кировский,745,2012-07-23,"105,2",5ED0513C-5880-48CF-8C86-4D495D87C8D8
4 этап (утверждение документации ППТ),"Территория, ограниченная продолжением Грибной ул., Левашовским шоссе, продолжением Приозерной ул., проектируемой ул., перспективным проездом",Курортный,1126,2014-12-16,"26,4",A6747B6E-E8EB-42B9-A31D-4D83B4E18071
4 этап (утверждение документации ППТ),"Территория, ограниченная Парковой ул., Гусарской ул., Колокольным пер., Госпитальным пер.",Пушкинский,255,2011-03-01,6,D62D4A9C-2902-4D46-A194-4DDF246047EA
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Тамбасова, межквартальным проездом, ул. Здоровцева, пр. Ветеранов",Красногвардейский,1071,2017-12-19,"10,7",B0C23DD0-A89C-4D39-ACE5-4E38300C8DAE
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Тельмана, проездом от ул. Тельмана до пр.Большевиков, пер. Челиева",Невский,1235,2008-09-30,"23,2",5FF34F38-B1A2-4E85-86DA-4E68909DA72C
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Маршала Жукова, дорогой на Турухтанные острова, Кронштадтской ул., Портовой ул.",Кировский,1666,2010-12-07,"29,8",FB823125-E7F6-49E2-B174-4EC7102FE127
4 этап (утверждение документации ППТ),Территория для размещения линейного объекта: «Широтная магистраль скоростного движения с мостом через р. Неву в створе ул. Фаянсовая – ул. Зольная. Этап 2. Участок от транспортного узла на пересечении с Витебским пр. До пересечения с Союзным пр»,Невский,255,2019-04-25,"120,3",24D247B2-D76D-4055-8457-4FE526E93D7F
4 этап (утверждение документации ППТ),"Квартал 17Г района «Ладожский вокзал и промзона Большой и Малой Охты», ограниченный Уткиным пер., перспективной пробивкой пр. Энергетиков, перспективной пробивкой Гранитной ул.",Красногвардейский,24,2014-01-24,"2,8",4B391839-3441-4CC9-AEFF-50B209E28311
4 этап (утверждение документации ППТ),"Квартал 31 СУН, ограниченный Дальневосточным пр., подъездным путем ж.д. Станции Дача Долгорукова - завод «Баррикада» и Зольной ул.",Невский,820,2008-07-01,"22,6",933FB2B6-42BF-4A3A-87BC-514FAC1FB52B
4 этап (утверждение документации ППТ),Территория для размещения объекта «Автомобильная дорога А-118 «Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга (участок от Приозерского шоссе до автомобильной дороги »Россия»),Невский,1237-р,2017-06-22,"522,9",6DE7A95C-D6A9-4C34-88D4-51E8F86B191D
4 этап (утверждение документации ППТ),"Территория, ограниченная проектируемыми проездами Северо-Западнее Гатчинского шоссе",Пушкинский,1073,2017-12-19,"48,5",C3FC0F4C-F289-4236-97F9-52E3ABADF352
4 этап (утверждение документации ППТ),"Территория квартала 55 Тихорецкого пр., ограниченная Тихорецким пр., пр. Науки, ул. Обручевых, ул. Гидротехников",Калининский,1015,2011-07-13,"46,2",903A3470-78F2-4909-8C57-5344AD9BD294
4 этап (утверждение документации ППТ),"Квартал 13 восточнее пр. Юрия Гагарина (ВЮГ), ограниченного пр. Космонавтов, Звездной ул., Витебским пр., Дунайским пр.",Московский,202,2009-02-17,"14,9",25CE17BE-0532-4B66-9A51-53A713A38B02
4 этап (утверждение документации ППТ),"Территория, ограниченная пр. Обуховской Обороны, ул. Профессора Качалова, Зеркальным пер., Мельничной ул.",Невский,374,2010-04-15,"8,5",A1C1343C-A65B-4E90-9026-53C9837BC7E0
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Лабутина, Климовым пер., наб. Р. Фонтанки, Прядильным пер.",Адмиралтейский,1520,2009-12-22,"1,8",1A60A7AE-013B-41F9-812A-53E2377E85A6
4 этап (утверждение документации ППТ),"Территория, ограниченная пр.Ленина, ул.Коммуны, ул.Павловской, ул.Карла Маркса в г.Колпино",Колпинский,203,2014-03-25,"4,07",15815BCC-7BCB-415B-8397-544C3F6A0BA1
4 этап (утверждение документации ППТ),"Территория, ограниченная Московским пр., наб.Обводного кан., полосой отвода Балтийской линии Октябрьской железной дороги, Благодатной ул., в Московском районе Санкт-Петербурга, утвержденный постановлением Правительства СПб от 17.07.2007 № 864, в части кварталов 42, 44",Московский,1189,2014-12-18,"24,9",78E83474-D471-48B1-8CB8-54757FB00D01
4 этап (утверждение документации ППТ),"Территория, ограниченная Железнодорожным пр., Белевским пр., Варфоломеевской ул. И перспективной магистралью",Невский,1241,2012-11-27,"5,8",108A66B4-C1FD-453E-8360-54C772433B73
4 этап (утверждение документации ППТ),"Территория для размещения линейного объекта регионального значения «ул.Спирина от ул.Освобождения до ул.Голубко и ул.Рябчикова, Братошинская ул. От Ивангородского пр. До Новой ул»",Красносельский,829,2022-09-08,"5,8",C72ED554-CA64-4F1D-A596-5508C3575FB8
4 этап (утверждение документации ППТ),"Территория, ограниченная ул. Руставели, Токсовской ул., Муринским ручьем, ж/д Приозерского направления",Калининский,1705,2007-12-25,"4,9",E29BCF3B-8807-4A62-A1FB-5562670D433E
4 этап (утверждение документации ППТ),"Территория, ограниченная Волхонским шоссе, Заводской ул., ул. Грибоедова и проектируемым проездом между",Петродворцовый,1503,2007-11-20,20,11C7A53A-9160-416D-8F7A-55E86716F7A4
4 этап (утверждение документации ППТ),Квартал 56АБ Северо-Приморской части,Приморский,838,2005-06-21,"40,5",9E925234-F505-4E6A-85FC-56B84F0EDBE4
4 этап (утверждение документации ППТ),"Территория, ограниченная Ленинским пр., ул. Десантников, ул. Маршала Захарова, Брестским бульваром",Красносельский,1004,2010-07-27,"7,1",CB2C5EFC-CB71-40D8-A62B-57040D07084F
